  rois,  time_seconds,     corr,      svd,  c_svd_only, matlab_svd_econ_only, call_gsl_linalg_SV_decomp_from_matlab
   256,       919.415,  174.624,   92.930,    0.000000,             0.049237,                              1.125592 
   512,      6555.856,  882.776,  650.770,    0.000000,             0.1599,                                5.3617
  1024,     41705.573, 3532.525, 4866.019,    0.000000,             0.79638,                              24.9762
  2048,              ,         ,         ,    0.000000,             2.3867,                               32.8627
  4096,              ,         ,         ,    0.010000,             2.9897,                               69.8826
  8192,              ,         ,         ,    0.440000,             4.6708,                              150.1264   
 16384,              ,         ,         ,    0.060000,             8.3764,                              507.6819
 32768,              ,         ,         ,    0.050000,            17.5273,                             1085.104
 65536,              ,         ,         ,    0.170000,            33.70081085.104,                     2218.498
131072,              ,         ,         ,    0.330000,            68.1703,                             4864.481
